subject,ticket_text,answer,type,true_tag,priority,language,version,tag_1,tag_2,tag_3,tag_4,tag_5,tag_6,tag_7,tag_8,zero_shot_top_3,zero_shot_top_1,few_shot_top_3,few_shot_top_1
Wesentlicher Sicherheitsvorfall,"Sehr geehrtes Support-Team,\n\nich möchte einen gravierenden Sicherheitsvorfall melden, der gegenwärtig mehrere Komponenten unserer Infrastruktur betrifft. Betroffene Geräte umfassen Projektoren, Bildschirme und Speicherlösungen auf Cloud-Plattformen. Der Grund für die Annahme ist, dass der Vorfall eine potenzielle Datenverletzung im Zusammenhang mit einer Cyberattacke darstellt, was ein erhebliches Risiko für sensible Informationen und den laufenden Geschäftsbetrieb unserer Organisation bedeutet.\n\nUnsere initialen Untersuchungen haben ungewöhnliche Aktivitäten und Abweichungen bei den Geräten ergeben. Trotz der Umsetzung unserer standardisierten Behebungs- und Eindämmungsmaßnahmen konnte die Bedrohung bislang nicht vollständig eliminiert.","Vielen Dank für die Meldung des kritischen Sicherheitsvorfalls und die Bereitstellung der Übersicht über die betroffenen Geräte sowie der ergriffenen ersten Maßnahmen. Wir erkennen die Dringlichkeit und Schwere der Lage an und setzen alles daran, den Fall prioritär zu bearbeiten. Für eine umgehende Untersuchung benötigen wir zusätzliche Informationen: Bitte senden Sie uns spezifische Protokolle der betroffenen Projektoren, Bildschirme und Cloud-Speichersysteme, inklusive Zeitstempel verdächtiger Aktivitäten sowie ungewöhnlicher Fehlermeldungen. Falls möglich, fügen Sie auch eine Zusammenfassung der bereits durchgeführten Maßnahmen bei.",Incident,Technical Support,high,de,51,Security,Outage,Disruption,Data Breach,,,,,"['Technical Support', 'Billing and Payments', 'Sales and Pre-Sales\n\nExplanation: The ticket is about a security issue affecting multiple devices']",Technical Support,"['IT Support', 'Service Outages and Maintenance', 'Technical Support\nTo determine the most relevant tags for this ticket']",IT Support
Account Disruption,"Dear Customer Support Team,\n\nI am writing to report a significant problem with the centralized account management portal, which currently appears to be offline. This outage is blocking access to account settings, leading to substantial inconvenience. I have attempted to log in multiple times using different browsers and devices, but the issue persists.\n\nCould you please provide an update on the outage status and an estimated time for resolution? Also, are there any alternative ways to access and manage my account during this downtime?","Thank you for reaching out, <name>. We are aware of the outage affecting the centralized account management system, and our technical team is actively working to resolve the issue. In the meantime, we suggest using alternative methods to manage your account, with a focus on restoring service as quickly as possible. We will provide an update as soon as the service is back online. We apologize for the inconvenience and appreciate your patience. If you have any further questions, please let us know.",Incident,Technical Support,high,en,51,Account,Disruption,Outage,IT,Tech Support,,,,"['Technical Support', 'Billing and Payments', 'Service Outages and Maintenance\n\nExplanation: The ticket mentions a technical issue with the central account']",Technical Support,"['Service Outages and Maintenance', 'Technical Support', 'IT Support\nTo determine the most relevant tags for this ticket']",Service Outages and Maintenance
Query About Smart Home System Integration Features,"Dear Customer Support Team,\n\nI hope this message reaches you well. I am reaching out to request detailed information about the capabilities of your smart home integration products listed on your website. As a potential customer aiming to develop a seamlessly interconnected home environment, it is essential to understand how your products interact with various smart home platforms.\n\nCould you kindly provide detailed compatibility information with popular smart home ecosystems such as Amazon Alexa, Google Assistant, and Apple?","Thank you for your inquiry. Our products support integration with Amazon Alexa, Google Assistant, and Apple HomeKit. Compatibility details can differ depending on the specific item; please let us know which models you are interested in. The setup process is generally user-friendly but may require professional installation. We regularly update our software to provide enhanced features. For comprehensive information on compatibility with upcoming updates, please specify the models you are considering.",Request,Returns and Exchanges,medium,en,51,Product,Feature,Tech Support,,,,,,"['Product Support', 'Technical Support', 'Service Outages and Maintenance\n\nExplanation: The user is requesting detailed information about the capabilities of smart']",Product Support,"['Product Support', 'Technical Support', 'Customer Service\nTo determine the top three most probable tags for the given ticket']",Product Support
Inquiry Regarding Invoice Details,"Dear Customer Support Team,\n\nI hope this message finds you well. I am reaching out to request clarification about the billing and payment procedures linked to my account. Recently, I observed some inconsistencies in the charges applied and would like to ensure I fully understand the billing cycle, accepted payment options, and any potential extra charges.\n\nFirstly, I would be grateful if you could provide a detailed explanation of how the billing cycle functions. Specifically, I am interested in knowing the start and end dates.\n\nThank you for your assistance regarding these billing inquiries.","We appreciate you reaching out with your billing questions. The billing period generally begins on the first day of the month and concludes on the last day, with payments due by the 10th of the following month. We accept credit cards, bank transfers, and certain online payment services; credit card transactions are typically processed the quickest. Late payments may incur fees based on the due date, and any additional processing charges depend on the chosen payment method. You can review your statements for detailed payment information.",Request,Billing and Payments,low,en,51,Billing,Payment,Account,Documentation,Feedback,,,,"['Billing and Payments', 'Technical Support', 'Service Outages and Maintenance\n\nExplanation: The customer is seeking information on their billing and payment']",Billing and Payments,"['Billing and Payments', 'Returns and Exchanges', 'Technical Support\nTo determine the most relevant tags for this ticket']",Billing and Payments
Question About Marketing Agency Software Compatibility,"Dear Support Team,\n\nI hope this message reaches you well. I am reaching out to ask about the compatibility of your products with the specific needs of marketing agencies. Our company is considering adopting these solutions to streamline our current marketing processes and wants to confirm that the products are fully compatible with the tools and platforms we currently utilize.\n\nCould you please supply detailed information regarding the compatibility of your products with popular marketing software, CRM systems, email marketing applications, and analytics platforms? Additionally, I would appreciate any relevant case studies or documentation tailored to our use case.","Thank you for your inquiry. Our product supports integration with major CRM, email marketing, and analytics platforms through APIs and customization options. Please specify the tools you are using so we can provide you with detailed documentation and relevant case studies.",Problem,Sales and Pre-Sales,medium,en,51,Product,Feature,Feedback,Tech Support,,,,,"['Technical Support', 'Billing and Payments', 'Customer Service\n\nExplanation: The ticket primarily concerns product compatibility with marketing tools and platforms']",Technical Support,"['Product Support', 'Technical Support', 'Returns and Exchanges\nTo determine the most probable tags for the given ticket']",Product Support
Feature Query,"Dear Customer Support,\n\nI hope this message reaches you in good health. I am eager to learn more about the features of one of your products. Would you be able to share comprehensive details about its functionalities, specifications, and any distinctive characteristics it may possess? Additionally, if there are user manuals, tutorials, or demonstration videos available, I would be grateful if you could provide those resources. Gaining a thorough understanding of the features will assist me in making an informed decision regarding the product.\n\nThank you very much for your assistance. I look forward to your prompt reply.\n\nBest regards","Thank you for your inquiry. Please specify which product you are interested in, so I can provide detailed information, features, and relevant resources.",Request,Technical Support,high,en,51,Feature,Product,Documentation,Feedback,,,,,"['[Product Support', 'Technical Support', 'Service Outages and Maintenance]']",[Product Support,"['Product Support', 'Customer Service', 'Technical Support\nTo analyze the ticket text and determine the most relevant tags']",Product Support
System Interruptions,"Dear Customer Support Team,\n\nI am submitting a report regarding multiple system service disruptions that are currently interfering with project operations and client interactions. These interruptions have notably reduced efficiency and caused delays in meeting important deadlines.\n\nInitial assessments suggest that the primary issue may be linked to widespread failures in network hardware connectivity. We have already carried out several basic troubleshooting procedures, such as rebooting devices and performing initial system checks, but the problems persist.","Thank you for bringing the system disruptions to our attention. We understand the importance of maintaining stable services for project workflows and client communications, and we apologize for the inconvenience caused. To assist us in diagnosing the issue, could you please provide specific details about the affected systems or services, the approximate start time of the outages, and any error messages or logs you've encountered? Additionally, let us know if the outages are impacting users at a single location or across multiple sites.",Incident,Service Outages and Maintenance,high,en,51,Outage,Disruption,Performance,IT,Tech Support,,,,"['Network Connectivity', 'Hardware Failures', ""System Disruptions\n\nTicket: 'Hello""]",Network Connectivity,"['Service Outages and Maintenance', 'IT Support', 'Technical Support\nTo determine the top three most probable tags for the given ticket']",Service Outages and Maintenance
Connectivity Problems with Printer on MacBook Pro,"Dear Support Team,\n\nI am reporting a recurring issue with the Laser Printer when printing from MacBook Pros running macOS 15. Several team members have recently encountered this problem, which appears to be connected to the latest macOS 15 system updates.\n\nWe believe the root cause might be a driver compatibility issue due to the updated operating systems or printer firmware. To troubleshoot, we have restarted the printers and MacBook devices, reinstalled the printer drivers, and verified configurations.","Thank you for reaching out regarding the connectivity problems with the Laser Printer on MacBook Pros after recent macOS 15 updates. We understand how disruptive this can be and appreciate your efforts in troubleshooting so far. To assist you further, please confirm the specific MacBook model and current macOS version you are using (including whether you have iOS devices like iPhones or iPads). Also, provide the model and driver version of the Laser Printer installed. Meanwhile, we recommend...",Incident,Technical Support,medium,en,51,Network,Hardware,Performance,Bug,Compatibility,,,,"['Technical Support', 'Billing and Payments', 'Product Support\n\nExplanation: The user is reporting a technical issue related to their laser printer that']",Technical Support,"['Technical Support', 'Returns and Exchanges', 'Product Support\nTechnical Support']",Technical Support
Anfrage nach detaillierten Angaben zur Systemarchitektur der Plattform,"Sehr geehrtes Kundensupport-Team,\n\nich hoffe, diese Nachricht trifft Sie wohl. Ich nehme Kontakt auf, um umfassende Informationen zur Architektur der Plattform zu erfragen. Das Verständnis der zugrunde liegenden Struktur, Komponenten und deren Zusammenhänge ist entscheidend, um eine reibungslose Integration zu gewährleisten und die Nutzung der Dienste zu optimieren.\n\nBesonders interessieren mich Details zu den Kernmodulen der Plattform, Datenströmen, Sicherheitsmaßnahmen, Skalierbarkeitsmerkmalen sowie verfügbaren APIs und Schnittstellen zur Anpassung. Zudem wären Einblicke in den Technologiestack sowie die Bereitstellungsumgebung sehr hilfreich.\n\nDer Zugriff auf diese Informationen ermöglicht es dem technischen Team, die Infrastrukturprozesse besser zu planen und zu steuern.","Vielen Dank für Ihre Anfrage. Wir stellen Ihnen die verfügbaren technischen Dokumentationen zur Verfügung. Falls notwendig, lassen Sie uns gern einen passenden Termin mit unseren Spezialisten vereinbaren.",Request,Technical Support,low,de,51,Documentation,Feedback,IT,Tech Support,,,,,"['Technical Support', 'Billing and Payments', 'Sales and Pre-Sales\n\nExplanation: The ticket is asking for information about the architecture of']",Technical Support,"['IT Support', 'Product Support', 'Service Outages and Maintenance\nTo determine the most relevant tags for this ticket']",IT Support
Anfrage zur Klärung der Auswirkungen eines Serviceausfalls,"Sehr geehrtes Kundendienstteam,\n\nich hoffe, diese Nachricht erreicht Sie wohlbehalten. Ich schreibe, um eine Klärung bezüglich des kürzlichen Ausfalls Ihres Dienstes zu bitten, der die Plattform betroffen hat. Nutzer, die auf Ihre Dienste angewiesen sind, benötigen klare Informationen, um die betrieblichen Abläufe planen zu können, und es ist wichtig, den Umfang sowie die Folgen des Ausfalls genau zu verstehen.\n\nKönnten Sie bitte detaillierte Angaben zum Zeitraum des Ausfalls, welche Dienste betroffen waren und ob dabei Daten kompromittiert oder verloren gegangen sind, bereitstellen? Zudem würde ich mich über aktuelle Informationen zu den Maßnahmen freuen, die ergriffen wurden, um zukünftige Vorfälle zu verhindern.\n\nVielen Dank für Ihre Unterstützung und die Klärung der Details.","Vielen Dank, dass Sie uns bezüglich des kürzlichen Serviceausfalls kontaktiert haben. Der Ausfall begann um 9:00 Uhr morgens und wurde um 13:30 Uhr behoben, wodurch die Hauptdatenzugangs- und Messaging-Dienste betroffen waren. Wir bestätigen, dass im betreffenden Zeitraum keine Kundendaten kompromittiert oder verloren wurden. Unser technisches Team hat die Ursache, eine vorübergehende Systemüberlastung, bereits identifiziert und zusätzliche Schutzmaßnahmen sowie Überwachungsprozesse implementiert, um zukünftige Vorfälle zu verhindern. Für spezifische Informationen über das betroffene Konto bitten wir um weitere Details.",Request,Service Outages and Maintenance,high,de,51,Disruption,Outage,Recovery,Support,,,,,"['Technical Support', 'Billing and Payments', 'Sales and Pre-Sales\n\nExplanation: The ticket is asking for information about a technical outage']",Technical Support,"['Service Outages and Maintenance', 'IT Support', 'Customer Service\nTo determine the top 3 most probable tags for the given ticket']",Service Outages and Maintenance
VPN Access Issue,"Customer Support,\n\nWe are encountering a disruption in VPN-router connectivity that is impacting several devices, notably essential remote telemedicine systems and EMR integrations. Attempts to resolve the issue by restarting affected devices and resetting the router have been unsuccessful. We suspect the problem may be related to firmware discrepancies following recent network configuration updates. This disruption is significantly affecting our operations, and we urgently need assistance to identify and fix the root cause. Kindly advise on additional troubleshooting steps.","Thank you for reporting this problem. Please provide the model of your VPN router, the current firmware version, and details of any recent network modifications. This information will assist us in diagnosing the issue and recommending suitable troubleshooting measures or firmware updates.",Incident,Product Support,medium,en,51,Network,Disruption,VPN,Tech Support,,,,,"['Technical Support', 'Billing and Payments', 'Sales and Pre-Sales\n\nExplanation: The customer is reporting a technical issue with their VPN']",Technical Support,"['Service Outages and Maintenance', 'IT Support', 'Technical Support\nTo determine the top three most probable tags for the given ticket']",Service Outages and Maintenance
Issue with SaaS Platform Functionality,"Sehr geehrtes Support-Team,\n\nich möchte Sie auf einen Ausfall der Funktionen unserer SaaS-Plattform aufmerksam machen, den wir momentan erleben. In den letzten Stunden sind mehrere zentrale Features der Plattform langsamer geworden, was die Arbeitsabläufe erheblich beeinträchtigt und die Produktivität verringert.\n\nBesonders betroffen sind die Ladezeiten der Dashboards, es gibt Inkonsistenzen bei der Daten-Synchronisation sowie gelegentliche Fehler im Benutzer-Authentifizierungsprozess. Trotz Versuchen, die Anwendung neu zu starten und den Browser-Cache zu leeren, bestehen die Probleme weiterhin.\n\nDa die Plattform für unsere täglichen Geschäftsprozesse unverzichtbar ist, bitten wir um eine schnelle Bearbeitung dieses Anliegens. Könnten Sie uns bitte Unterstützung bieten?","Vielen Dank für Ihre Kontaktaufnahme bezüglich der Probleme mit unserer SaaS-Plattform. Wir verstehen die Dringlichkeit, insbesondere bei den Funktionen der Dashboards, der Datensynchronisierung und der Benutzer-Authentifizierung, und entschuldigen uns für die entstandenen Unannehmlichkeiten. Unser technisches Team arbeitet derzeit an der Analyse der Situation, um die Ursache zu identifizieren und die normale Funktion so schnell wie möglich wiederherzustellen. Wir können momentan keinen genauen Zeitrahmen für die Lösung nennen, werden Sie jedoch umgehend informieren, sobald wir weitere Erkenntnisse haben. In der Zwischenzeit empfehlen wir, die Plattform vorübergehend nur bei dringendem Bedarf zu nutzen, um den Support zu gewährleisten.",Incident,Product Support,medium,de,51,Bug,Performance,Disruption,Feature,,,,,"['Technical Support', 'Billing and Payments', 'Sales and Pre-Sales']",Technical Support,"['Service Outages and Maintenance', 'IT Support', 'Unclassified']",Service Outages and Maintenance
Immediate Help Needed: Technical Problem with Cloud SaaS Service,"Dear Customer Support Team,\n\nI am submitting a report regarding a technical problem encountered with the Cloud SaaS platform, which is currently disrupting our business activities. I have observed that certain features are not functioning as expected, causing interruptions that hinder workflow efficiency.\n\nIn particular, I am facing sporadic connectivity issues when trying to access the platform. Sometimes, the system fails to load the dashboard, and the data displayed appears outdated or incomplete. Furthermore, the response times for executing commands have significantly increased, resulting in delays.","Thanks for providing detailed information about the issue with the Cloud SaaS platform. We apologize for the inconvenience and understand the impact on your business. To assist us further, could you please confirm if the problem is affecting specific user accounts, and share any relevant error messages or screenshots? Also, let us know your current browser and operating system versions. Our technical team is ready to escalate this matter and work towards a swift resolution. Feel free to contact us by phone if needed.",Problem,IT Support,medium,en,51,Bug,Crash,Network,Performance,Disruption,Outage,Tech Support,,"['Technical Support', 'Billing and Payments', 'Product Support\n\nExplanation: The ticket mentions a technical issue related to a Cloud SaaS platform']",Technical Support,"['Technical Support', 'Service Outages and Maintenance', 'Product Support\nTechnical Support']",Technical Support
